tweet_id, retweet_count, favorite_count 
892420643555336193,7528,35539
892177421306343426,5586,30735
891815181378084864,3702,23121
891689557279858688,7706,38806
891327558926688256,8309,37110
891087950875897856,2787,18711
890971913173991426,1809,10867
890729181411237888,16850,59932
890609185150312448,3842,25723
890240255349198849,6548,29372
890006608113172480,6544,28304
889880896479866881,4457,25727
889665388333682689,8931,44283
889638837579907072,3997,24907
889531135344209921,2016,13985
889278841981685760,4764,23246
888917238123831296,4011,26838
888804989199671297,3779,23556
888554962724278272,3091,18187
888202515573088257,,
888078434458587136,3099,20096
887705289381826560,4822,27929
887517139158093824,10535,42773
887473957103951883,16080,63352
887343217045368832,9377,31053
887101392804085760,5331,28266
886983233522544640,6845,32136
886736880519319552,2858,11037
886680336477933568,4000,20764
886366144734445568,2829,19484
886267009285017600,4,110
886258384151887873,5648,25818
886054160059072513,98,0
885984800019947520,6009,30049
885528943205470208,5715,33140
885518971528720385,3334,18885
885311592912609280,16515,0
885167619883638784,3902,20158
884925521741709313,16120,70993
884876753390489601,4981,25645
884562892145688576,4200,22415
884441805382717440,5088,24973
884247878851493888,18138,66861
884162670584377345,2674,18830
883838122936631299,3059,20151
883482846933004288,8828,42244
883360690899218434,3304,20903
883117836046086144,5948,34205
882992080364220416,3473,22038
882762694511734784,4366,26049
882627270321602560,5431,25866
882268110199369728,10342,41347
882045870035918850,4348,27048
881906580714921986,3040,22452
881666595344535552,9541,46738
881633300179243008,7,115
881536004380872706,14307,45638
881268444196462592,4730,21460
880935762899988482,2502,15788
880872448815771648,3427,19640
880465832366813184,5551,26250
880221127280381952,3721,24868
880095782870896641,3888,25497
879862464715927552,3119,20664
879674319642796034,10,291
879492040517615616,2851,21686
879415818425184262,39869,97618
879376492567855104,2803,15546
879130579576475649,6089,0
879050749262655488,4214,20814
879008229531029506,2398,17572
878776093423087618,3661,17884
878604707211726852,6339,27786
878404777348136964,1145,0
878316110768087041,5944,0
878281511006478336,1145,7135
878057613040115712,6089,38889
877736472329191424,16950,73134
877611172832227328,71,0
877556246731214848,3410,20966
877316821321428993,4668,25372
877201837425926144,4987,25043
876838120628539392,2990,19138
876537666061221889,4211,21932
876484053909872640,2123,17376
876120275196170240,4190,25894
875747767867523072,3832,23236
875144289856114688,4407,20303
875097192612077568,5467,25416
875021211251597312,4235,23610
874680097055178752,4168,25761
874434818259525634,13056,0
874296783580663808,3710,24142
874057562936811520,3587,21063
874012996292530176,9196,31698
873697596434513921,,
873580283840344065,3555,22458
873337748698140672,1422,0
873213775632977920,1422,6638
872967104147763200,4882,25285
872820683541237760,3359,13677
872668790621863937,,
872620804844003328,3281,19233
872486979161796608,8168,37833
872261713294495745,,
872122724285648897,7313,31822
871879754684805121,9885,34862
871762521631449091,3149,18783
871515927908634625,3145,18746
871166179821445120,5176,0
871102520638267392,4993,19465
871032628920680449,3459,21164
870804317367881728,5620,31331
870726314365509632,3,113
870656317836468226,2377,11480
870374049280663552,24119,77359
870308999962521604,3764,20429
870063196459192321,7551,34044
869988702071779329,,
869772420881756160,9221,39700
869702957897576449,5725,26332
869596645499047938,2835,14905
869227993411051520,3433,19069
868880397819494401,13135,60989
868639477480148993,1884,0
868622495443632128,4818,24888
868552278524837888,1884,9415
867900495410671616,3820,22643
867774946302451713,6706,31754
867421006826221569,2280,15051
867072653475098625,110,0
867051520902168576,7226,30122
866816280283807744,,
866720684873056260,4391,18738
866686824827068416,3183,18034
866450705531457537,32301,114472
866334964761202691,13056,49024
866094527597207552,7689,0
865718153858494464,5172,24091
865359393868664832,4588,24823
865006731092295680,7081,26287
864873206498414592,7979,30263
864279568663928832,2768,13696
864197398364647424,8126,28132
863907417377173506,3814,19358
863553081350529029,3862,14350
863471782782697472,2235,0
863432100342583297,4828,22350
863427515083354112,89,2075
863079547188785154,1025,8256
863062471531167744,2235,7936
862831371563274240,4753,18028
862722525377298433,3273,16108
862457590147678208,4546,19220
862096992088072192,21412,69855
861769973181624320,,
861383897657036800,9902,33988
861288531465048066,3823,16171
861005113778896900,3538,15734
